proficiency_domain,proficiency_id,proficiency_name
Grammar,1,Pronouns + Nouns
Grammar,2,Tense
Grammar,3,Cases
Grammar,4,To-infinitive
Grammar,5,Participles
Grammar,6,Gerunds
Grammar,7,Passives
Grammar,8,Relative Clauses
Grammar,9,Negation
Grammar,10,Prepositions and Conjunctions
Grammar,11,Adverbs + Adjectives
Grammar,12,Subjunctive
Grammar,13,Sentence Structure
Vocabulary,21,Free Time
Vocabulary,22,Humanities
Vocabulary,23,Society
Vocabulary,24,Nature + Science
Vocabulary,25,Aliment
Vocabulary,26,Body + Soul
Vocabulary,27,Home + Building
Vocabulary,28,Economy
Vocabulary,29,Technology