sub_type,difficulty_level,sentence_corpus,correct_answers,error_words
4,1,Do you want {} to help you?,{me},{I}
4,1,Do you want {} to ask him?,{me},{I}
4,1,Do you want {} to leave?,{us},{we}
4,1,I want {} to apologize right now.,{her},{she}
4,1,I don't want {} to be so unhappy.,{her},{she}
4,1,Mother wants {} to help her.,{us},{we}
4,1,The teacher wants {} to be quiet.,{us},{we}
4,1,She wants {} to study this new grammar.,{us},{we}
4,1,I don't want {} to hear us.,{them},{they}
4,1,I want {} to know.,{them},{they}
4,2,I want {} to understand why I couldn't stay.,{them},{they}
4,2,Does he want {} to call him back?,{me},{I}
4,2,My girlfriend wants {} to meet her parents.,{me},{I}
4,2,We don't want {} to go wrong.,{it},{its}
4,2,He wants {} to write a letter of complaint to the manager.,{me},{I}
4,2,The students wanted {} to assign less homework.,{her},{she}
4,2,She wants {} to have more time to practice.,{them},{they}
4,2,They want {} to join them for a late dinner.,{her},{she}
4,2,I want {} to disappear and never come back.,{her},{she}
4,2,She wants {} to rescue her from her dull life.,{me},{I}
4,3,Her mother wants {} to help out around the house but he is always too busy.,{her},{she}
4,3,Employers want {} to speak more than one language.,{her},{she}
4,3,The government wants {} to know where to go if there is a major earthquake.,"{them, us}","{they, we}"
4,3,"My boss wants {} to go to the conference in Russia, but I just don't have the time.",{me},{I}
4,3,Her doctor wants {} to spend more time exercising and less time watching television.,{her},{she}
4,3,I wanted {} to wash the car today but I think it might rain.,{them},{they}
4,3,I want {} to agree with me but she is too stubborn.,{her},{she}
4,3,I know you want {} to finish this project by the end of the week but I am not sure if I can make the deadline.,{me},{I}
4,3,"He wants {} to run away with her but she was smart enough to realize that if she wanted happiness, she had to stay and solve her problems.",{him},{he}
4,1,She asked {} to stay.,{me},{I}
4,1,I asked {} to leave.,{her},{she}
4,1,The clerk asked {} to wait.,{me},{I}
4,1,The doctor asked {} to cough.,{her},{she}
4,1,The children asked {} to play.,{them},{they}
4,1,They asked {} to wait for them.,{us},{we}
4,1,The policeman asked {} to move the car.,{me},{I}
4,1,My family asked {} to stop smoking.,{me},{I}
4,1,The teacher asked {} to close the windows.,{him},{he}
4,1,She asked {} to meet the deadline.,{me},{I}
4,2,I asked {} to help me and he said he would.,{him},{he}
4,2,The local government asks {} to recycle.,{them},{they}
4,2,My son just asked {} to leave the kitchen.,{me},{I}
4,2,The government asked {} to conserve energy.,{them},{they}
4,2,The teacher asked {} to put away their phones.,{them},{they}
4,2,They asked {} to sit in the smoking section.,{us},{we}
4,2,The doctor asked {} to make another appointment for follow-up.,{us},{we}
4,2,My husband asked {} to show him that website.,{me},{I}
4,3,I asked {} to save me the last of the tea for my breakfast tomorrow.,{her},{she}
4,3,My sister asked {} to come to Florida to help her when her sick husband died.,{me},{I}
4,3,The librarian asked {} to return all the overdue books by tomorrow at the latest.,{him},{he}
4,3,Customers often ask {} to explain the difference in price and quality between products.,{me},{I}
4,3,The neighbor asked {} to stop making so much noise at night.,{me},{I}
4,3,"I asked {} to clean her room, but as usual, she ignored me.",{her},{she}
4,3,My brother asked {} to pick up more bananas from the market on my way home.,{me},{I}
4,3,I asked {} to rent the new Tom Cruise DVD but he said it wasn't available.,{him},{he}
4,3,He asked {} to go to the concert with him and she accepted.,{her},{she}
4,3,He asked his teacher to allow {} to retake the test because he was interrupted by the fire drill.,{him},{he}
4,1,I didn't tell {} to go.,{her},{she}
4,1,She told {} to stop.,{me},{I}
4,1,The doctor told {} to exercise.,{me},{I}
4,1,My boss told {} to stay late.,{me},{I}
4,1,My wife told {} to lose weight.,{me},{I}
4,1,I told {} to shut the window.,{him},{he}
4,1,She told {} to turn off the lights.,{me},{I}
4,1,He told {} to call him Chris.,{me},{I}
4,1,I told {} to visit again soon.,{her},{she}
4,1,She told {} to stop complaining.,{him},{he}
4,2,The repairman told {} to bring the car in tomorrow.,{me},{I}
4,2,Mother always tells {} to clean my room.,{me},{I}
4,2,My teacher always tells {} to do our homework on time.,{us},{we}
4,2,My friend always tells {} to think positively.,{me},{I}
4,2,My doctor often tells {} to balance work and play.,{me},{I}
4,2,I told {} to let me know if he needs any help.,{him},{he}
4,2,She told {} to answer the door.,{me},{I}
4,2,He told {} not to touch his phone.,{me},{I}
4,2,He told {} to use his new shampoo if I wanted to.,{me},{I}
4,2,The teacher told {} to stretch before exercising.,{us},{we}
4,3,She told {} to listen for the phone while she was in the shower.,{me},{I}
4,3,We told {} to stay home and watch TV while we were out.,{them},{they}
4,3,I told {} to wait for you but I am sorry to say that they didn't.,{them},{they}
4,3,I told {} to call me if there was any news on his condition.,{him},{he}
4,3,I told {} to come to the make-up class during the sixth period but I am not sure if they will.,{them},{they}
4,3,"After she told {} to stop eating refined sugar, I did, and now I feel much better.",{me},{I}
4,3,The doctor told {} to take his medicine with food.,{him},{he}
4,3,I told {} to buy that cheap printer but she didn't listen to me.,{her},{she}
4,3,She told {} to send the work to her as soon as I finished it.,{me},{I}
4,1,I will help {} to understand.,{them},{they}
4,1,This will help {} to improve.,{them},{they}
4,1,This will help {} to sleep.,{them},{they}
4,1,Practice will help {} to play better.,{them},{they}
4,1,Could you help {} to stand?,{her},{she}
4,1,Help {} to get through this week!,{me},{I}
4,1,Coffee can help {} to stay awake.,{us},{we}
4,1,This website can help {} to schedule classes.,{them},{they}
4,1,Will e-readers help {} to read better?,{them},{they}
4,1,It is important to help {} to succeed.,{them},{they}
4,2,Eating more vegetables will help {} to feel better.,{us},{we}
4,2,Exercising more will help {} to lose weight.,{us},{we}
4,2,Practicing aikido can help {} to have more confidence.,{us},{we}
4,2,Yoga can help {} to improve your balance.,{you},{your}
4,2,Pain relievers will help {} to get rid of that headache.,{us},{we}
4,2,Quiet background music can help {} to concentrate.,{us},{we}
4,2,Please help {} to find his phone and wallet.,{him},{he}
4,2,Please help {} to make sense of this terrible news.,{me},{I}
4,2,We need to help {} to make better decisions.,{them},{they}
4,2,Eating well can help {} to perform better in school.,{them},{they}
4,3,"Sometimes it is hard to know what will help {} to feel better, but certainly eating whole, natural food is a good place to start.",{us},{we}
4,3,Eating all that junk food will not help {} to feel any better.,{us},{we}
4,3,Could you help {} to book tickets for my summer travel to Europe?,{me},{I}
4,3,The ideas in this book might help {} to understand what you are feeling.,{you},{your}
4,3,We have advice to help {} to do well on job interviews.,{them},{they}
4,3,Teachers can help {} to understand why homework is useful to them.,{them},{they}
4,3,I will go to Florida soon to help {} to move to a new home.,{her},{she}
4,3,So many people help {} to make this project a great success.,{us},{we}
4,3,The passenger hopped out of the truck to help {} to back up.,{him},{he}
4,3,The company promises to help {} to feel more secure in their own homes.,{them},{they}
4,1,"I'd like {} to help me, please.",{them},{they}
4,1,I'd like {} to set the table for dinner.,{her},{she}
4,1,I'd like {} to clean your room.,{you},{your}
4,1,She would like {} to come with us.,{them},{they}
4,1,Would you like {} to help you?,{me},{I}
4,1,"If you'd like {} to leave, I will.",{me},{I}
4,1,What would you like {} to do?,{us},{we}
4,1,Would you like {} to sweep the floor?,{me},{I}
4,1,When would you like {} to start?,{me},{I}
4,1,Where would you like {} to put this?,{me},{I}
4,2,When would you like {} to arrive?,{us},{we}
4,2,Would you like {} to carry that for you?,{me},{I}
4,2,Would you like {} to show you to your room?,{me},{I}
4,2,Would you like {} to help you prepare dinner?,{me},{I}
4,2,How would you like {} to frame this photo?,{me},{I}
4,2,Where would she like {} to set up the stereo?,{us},{we}
4,2,Where would he like {} to put his luggage?,{us},{we}
4,2,Where would you like {} to watch the movie?,{them},{they}
4,2,I would like {} to finish it before dinner.,{us},{we}
4,2,She would like {} to call before you visit.,{you},{your}
4,3,The police would like {} to tell the whole story again from the beginning.,{you},{your}
4,3,She would not like {} to leave without letting her know.,{him},{he}
4,3,"I know you would like {} to visit, but we can't afford the airfare this year.","{me, us}","{I, we}"
4,3,We'd like {} to answer the questions on the attached form.,{them},{they}
4,3,Please check with your supervisor to see if there is anything she would like {} to do before you leave for the day.,{you},{your}
4,3,How would you like {} to set up the chairs for the meeting?,{them},{they}
4,3,Please tell the workers that she would like {} to set up the chairs in rows of ten.,{them},{they}
4,3,What time would she like {} to schedule her presentation?,{us},{we}
4,3,I would like {} to finish your broccoli before you have dessert.,{you},{your}
4,3,She would like {} to finish this assignment before I relax.,{me},{I}
4,1,Shall I teach {} to dance?,{them},{they}
4,1,Maybe you can teach {} to swim.,{them},{they}
4,1,Can you teach {} to read Japanese?,{me},{I}
4,1,I taught {} to learn from their mistakes.,{them},{they}
4,1,He taught {} to write in Chinese.,{her},{she}
4,1,His father taught {} to cook.,{him},{he}
4,1,Will you teach {} to drive?,{me},{I}
4,1,He taught {} to play the guitar.,{me},{I}
4,1,I wish someone would teach {} to sing.,{me},{I}
4,1,Her father taught {} to play golf.,{her},{she}
4,2,Parents teach {} to be responsible.,{them},{they}
4,2,Our job is to teach {} to think for themselves.,{them},{they}
4,2,She taught {} to be polite.,{them},{they}
4,2,The monks teach {} to be compassionate.,{us},{we}
4,2,Could you please teach {} to use this website?,{me},{I}
4,2,They don't teach {} to think for ourselves here.,{us},{we}
4,2,He taught {} to drive a car last summer.,{me},{I}
4,2,Will you teach {} to bake bread?,{me},{I}
4,2,I can teach {} to write a research paper.,{them},{they}
4,2,No one taught {} to swim.,{me},{I}
4,3,"These days, schools don't teach {} to function in society.",{them},{they}
4,3,It is important to teach {} to be kind to one another.,{them},{they}
4,3,"At this school, they teach {} to get up before dawn every morning.",{them},{they}
4,3,My mother taught {} to never sign a contract that I did not read and fully understand.,{me},{I}
4,3,"She taught {} to be true, kind, and useful, and to learn.",{me},{I}
4,3,I tried to teach {} to answer job interview questions successfully.,{them},{they}
4,3,She tried to teach {} to knit but I never really got the hang of it.,{me},{I}
4,1,Please allow {} to help.,{me},{I}
4,1,Will you allow {} to go?,{me},{I}
4,1,This will allow {} to check in online.,{us},{we}
4,1,Google allows {} to search the web quickly.,{us},{we}
4,1,Allow {} to introduce myself.,{me},{I}
4,1,My parents will not allow {} to go.,{me},{I}
4,1,Please allow {} to finish my story.,{me},{I}
4,1,Allow {} to suggest a restaurant.,{me},{I}
4,1,Allow {} to demonstrate.,{me},{I}
4,1,Will you allow {} to go with you?,{me},{I}
4,2,Allow {} to escort you.,{me},{I}
4,2,This phone allows {} to make emergency calls for free.,{them},{they}
4,2,The rules don't allow {} to work full-time.,{us},{we}
4,2,Why would I allow {} to use my phone?,{them},{they}
4,2,Some websites allow {} to read the news for free.,{us},{we}
4,2,This site will not allow {} to upload pictures.,{us},{we}
4,2,Facebook allows {} to personalize their profiles.,{them},{they}
4,2,The belt allows {} to adjust the fit.,{us},{we}
4,2,Solar panels will allow {} to save money on electricity.,{us},{we}
4,2,Certain kinds of neural cells allow {} to ignore pain.,{us},{we}
4,3,The government allows {} to apply for work permits.,{us},{we}
4,3,The new immigration bill would allow {} to stay in the country.,{me},{I}
4,3,This system allows {} to monitor all in-coming and out-going payments.,{me},{I}
4,3,Knowing a second language allows {} to obtain better paying jobs.,{us},{we}
4,3,This permit will allow {} to serve food and drinks in the festival.,{us},{we}
4,3,The union would not allow {} to make the announcement.,{us},{we}
4,3,This research has allowed {} to develop new treatment methods for various illnesses.,{us},{we}
4,3,Her computer would not allow {} to access her files without a password.,{her},{she}
4,3,The law does not allow {} to make those kinds of deals anymore.,{us},{we}
4,3,These findings allow {} to conclude that there was a high level of sulfur in the steel.,{them},{they}
5,1,Has the movie {} started?,"{already, just}",{since}
5,1,Have you done it {}?,"{already, yet}",{ever}
5,1,Have you seen it {}?,"{already, yet}",{ever}
5,1,Have you {} finished?,"{already, just}",{yet}
5,1,Have you {} eaten?,"{already, just}",{yet}
5,1,Have you {} seen this DVD?,"{already, ever}",{yet}
5,1,Has it {} been repaired?,"{already, just, ever}",{yet}
5,1,Has it {} been finished?,"{already, just, ever}",{yet}
5,1,She has {} gotten a job.,"{already, just}",{yet}
5,1,She has {} arrived.,"{already, just}",{yet}
5,1,Have you {} arrived?,"{already, just}",{yet}
5,1,Has the university {} opened?,"{already, just}",{yet}
5,1,Has he {} started?,"{already, just}",{yet}
5,1,He has {} left.,"{already, just}",{yet}
5,1,We have {} begun.,"{already, just}",{yet}
5,1,She's {} sent me a letter.,"{already, just}",{yet}
5,1,They have {} come in.,"{already, just}",{yet}
5,1,Has registration {} started?,"{already, just}",{yet}
5,1,Have you {} had lunch?,"{already, just}",{yet}
5,1,Have you {} started?,"{already, just}",{yet}
5,2,Have you {} read today's paper?,"{already, just}",{yet}
5,2,Have you {} done the dishes?,"{already, just, ever}",{yet}
5,2,Has he {} finished the laundry?,"{already, just, ever}",{yet}
5,2,Has he {} cleaned the apartment?,"{already, just, ever}",{yet}
5,2,Have they {} made the announcement?,"{already, just, ever}",{yet}
5,2,Have you {} finished your work?,"{already, just}",{yet}
5,2,Have you {} picked up the bike?,"{already, just}",{yet}
5,2,They have {} seen this one.,"{already, just}",{yet}
5,2,They have {} been to the store.,"{already, just}",{yet}
5,2,He has {} finished his big project.,"{already, just}",{yet}
5,2,She has {} received her letter.,"{already, just}",{yet}
5,2,My idea has {} been approved by the teacher.,"{already, just}",{yet}
5,2,He has {} opened all his birthday gifts.,"{already, just}",{yet}
5,2,They have {} announced the new award winners.,"{already, just}",{yet}
5,2,He has {} won several games.,"{already, just}",{yet}
5,2,She has {} been named as the class president.,"{already, just}",{yet}
5,2,They have {} joined several clubs.,"{already, just}",{yet}
5,2,The children have {} gone to sleep.,"{already, just}",{yet}
5,2,I have {} started my new job.,"{already, just}",{yet}
5,2,I have {} finished my homework.,"{already, just}",{yet}
5,2,I have {} started on my work.,"{already, just}",{yet}
5,2,She has {} published a new book.,"{already, just}",{yet}
5,2,He has {} broken a world record.,"{already, just}",{yet}
5,2,Someone has {} found my phone.,"{already, just}",{yet}
5,2,She has {} returned from three years abroad.,"{already, just}",{yet}
5,2,They've {} quit smoking.,"{already, just}",{yet}
5,2,They've {} asked her to stay another year.,"{already, just}",{yet}
5,2,That boy has {} eaten the last sandwich.,"{already, just}",{yet}
5,3,His mother had {} left for work when he woke up.,"{already, just}",{yet}
5,3,The father had {} hung the laundry when the rain started.,"{already, just}","{since, yet}"
5,3,They had {} heard the weather forecast when the snow started.,"{already, just}","{since, yet}"
5,3,I have {} returned from a wonderful vacation.,"{already, just}",{yet}
5,3,We had {} finished the DVD when they walked in.,"{already, just}","{since, yet}"
5,3,We had {} finished dinner when the room started to shake.,"{already, just}","{since, yet}"
5,3,We had {} finished the test when the bell rang.,"{already, just}","{since, yet}"
5,1,Have you finished {}?,"{yet, already}",{just}
5,1,Have you eaten {}?,"{yet, already}",{just}
5,1,Have you done it {}?,"{yet, already}",{just}
5,1,Have you started classes {}?,"{yet, already}",{just}
5,2,Have you seen this movie {}?,"{yet, already}",{just}
5,2,Have you started your new job {}?,"{yet, already}",{just}
5,2,Have you had any interviews {}?,"{yet, already}",{just}
5,2,Have you done your homework {}?,"{yet, already}",{just}
5,2,Have you finished your work {}?,"{yet, already}",{just}
5,1,They haven't arrived {}.,{yet},"{just, already}"
5,1,I haven't told them {}.,{yet},"{just, already}"
5,1,We haven't eaten {}.,{yet},"{just, already}"
5,1,They haven't started {}.,{yet},"{just, already}"
5,1,The class hasn't finished {}.,{yet},"{just, already}"
5,1,I haven't mailed it {}.,{yet},"{just, already}"
5,1,They haven't left {}.,{yet},"{just, already}"
5,1,He hasn't returned {}.,{yet},"{just, already}"
5,1,She hasn't come home {}.,{yet},"{just, already}"
5,1,It hasn't been repaired {}.,{yet},"{just, already}"
5,1,We haven't met {}.,{yet},"{just, already}"
5,1,I haven't written it {}.,{yet},"{just, already}"
5,2,The Ministry hasn't told us {}.,{yet},"{just, already}"
5,2,The grant hasn't been given out {}.,{yet},"{just, already}"
5,2,The project hasn't been finished {}.,{yet},"{just, already}"
5,2,We haven't been introduced {}.,{yet},"{just, already}"
5,2,The staff haven't opened the office {}.,{yet},"{just, already}"
5,3,The manager hasn't told the employees about it {}.,{yet},"{just, already}"
5,3,The newspapers haven't released the victim's name {}.,{yet},"{just, already}"
5,3,The court hasn't decided the punishment {}.,{yet},"{just, already}"
5,3,The registration office hasn't released the class lists {}.,{yet},"{just, already}"
5,1,Have you {} seen a rainbow?,"{ever, just, already}","{yet, since}"
5,1,Has he {} called you?,"{ever, just, already}",{yet}
5,1,Have they {} apologized?,"{ever, just, already}",{yet}
5,1,Have I {} hurt you?,"{ever, just, already}",{yet}
5,1,Have I {} lied to you?,"{ever, just, already}",{yet}
5,1,Have you {} been in love?,"{ever, already}",{yet}
5,1,Have you {} written a story?,"{ever, just, already}",{yet}
5,1,Have you {} flown a plane?,"{ever, just, already}",{yet}
5,1,Have you {} played the guitar?,"{ever, just, already}",{yet}
5,2,Have you {} heard of this person?,"{ever, just, already}",{yet}
5,2,Has he {} said he was sorry?,"{ever, just, already}",{yet}
5,2,Have you {} been alone in a new country?,{ever},{yet}
5,2,Have you {} tried to build a car?,"{ever, just, already}",{yet}
5,2,Have you {} gone to sleep on a train?,"{ever, already}",{yet}
5,2,Have you {} read War and Peace?,"{ever, just, already}",{yet}
5,1,I have known her {} almost twenty years.,{for},"{just,ever,since,already,yet}"
5,1,He has been crying {} hours.,{for},"{just,ever,since,already,yet}"
5,1,Neale has been in Canada {} two weeks.,{for},"{just,ever,since,already,yet}"
5,1,We've lived in Tokyo {} a long time.,{for},"{just,ever,since,already,yet}"
5,1,I have been teaching here {} many years.,{for},"{just,ever,since,already,yet}"
5,1,My brother has been unemployed {} three months.,{for},"{just,ever,since,already,yet}"
5,1,Dan has been studying in Ottawa {} a year.,{for},"{just,ever,since,already,yet}"
5,1,I've been driving {} more than 30 years.,{for},"{just,ever,since,already,yet}"
5,1,We've been working on this project {} decades.,{for},"{just,ever,since,already,yet}"
5,1,They've been drinking wine {} hours.,{for},"{just,ever,since,already,yet}"
5,2,I have been listening to him complain {} years.,{for},"{just,ever,since,already,yet}"
5,2,She has been a great friend to me {} many years.,{for},"{just,ever,since,already,yet}"
5,2,My brother-in-law has been fighting cancer {} many months.,{for},"{just,ever,since,already,yet}"
5,2,He has been receiving chemotherapy every week {} six months.,{for},"{just,ever,since,already,yet}"
5,2,He has been dieting {} weeks but hasn't lost any weight.,{for},"{just,ever,since,already,yet}"
5,2,We have been doing research together {} about ten years.,{for},"{just,ever,since,already,yet}"
5,2,She's been working here {} more than 13 years.,{for},"{just,ever,since,already,yet}"
5,2,I've been sitting in front of this computer {} too many hours.,{for},"{just,ever,since,already,yet}"
5,2,I've been training in aikido {} about seven years.,{for},"{just,ever,since,already,yet}"
5,3,Talks between the various parties over the right of self defense have been the subject of debate {} several months.,{for},"{just,ever,since,already,yet}"
5,3,The injured were taken to (the) hospital where they have been {} several days.,{for},"{just,ever,since,already,yet}"
5,3,He has been the ambassador to China {} several years.,{for},"{just,ever,since,already,yet}"
5,3,Wages in many industries have increased {} the first time in many years.,{for},"{just,ever,since,already,yet}"
5,3,The radio show has been on {} 20 minutes.,{for},"{just,ever,since,already,yet}"
5,3,The mountains have been slowly turning over {} millions of years.,{for},"{just,ever,since,already,yet}"
5,3,I have been writing sentences {} millions of years.,{for},"{just,ever,since,already,yet}"
5,1,It has been raining {} Tuesday.,"{since, all, on}","{from, for, yet}"
5,1,I have been ill {} this morning.,{since},"{from, for, yet}"
5,1,He has been angry {} the meeting.,{since},{from}
5,1,The door has been locked {} she left.,{since},{from}
5,1,The money has been missing {} he quit.,{since},{from}
5,1,It has been cloudy {} daybreak.,{since},{from}
5,1,She has been sad {} her dog died.,{since},{from}
5,1,He has been crying {} noon.,{since},{from}
5,1,He has been happy {} she returned.,{since},"{from, yet}"
5,1,I have lived here {} I was five.,{since},{from}
5,1,He's been out of work {} March.,{since},{from}
5,2,Takeshi has lived in London {} October of 2013.,{since},{from}
5,2,We have been waiting in this line {} 5 o'clock.,{since},{from}
5,2,She's been reading books {} she was only three years old.,{since},{from}
5,2,He's been unemployed {} he lost his job in March.,{since},{from}
5,2,We've known about his illness {} October last year.,{since},"{for, yet, already}"
5,2,Her memory hasn't been the same {} the accident.,{since},{from}
5,2,She has been depressed {} the baby was born.,{since},{from}
5,2,They've been celebrating {} they got up this morning.,{since},{from}
5,2,He has been dieting {} his heart attack last spring.,{since},{from}
5,2,He's been smoking {} he was a teenager.,{since},{from}
5,2,I've been juicing my fruits {} I bought that expensive juicer.,{since},{from}
5,2,They've gotten along so much better {} his mother died.,{since},{from}
5,3,I have been thinking about eating grilled octopus {} I saw that commercial on television.,{since},{from}
5,3,She's been watching Korean dramas {} she first discovered them years ago.,{since},{from}
5,3,I've been sleeping in another room {} my husband started snoring.,{since},{from}
5,3,I haven't seen her {} we were in high school together.,{since},{from}
5,3,She hasn't spoken to him {} he said she looked fat in her new dress.,{since},{from}
5,3,They haven't gotten any sleep {} the twins were born.,{since},"{from, after}"
5,3,The scientist's research has been questioned {} other researchers were unable to duplicate her method.,{since},"{from, after, when}"
5,3,"The Japanese economy has been slowly recovering {} the earthquake, tsunami and nuclear accident in Fukushima in 2011.","{since, after, from}",{for}
5,3,She hasn't eaten any nuts or shellfish {} she had a terrible allergic reaction when she was a child.,"{since, because}",{from}
5,3,Deaths of children have decreased {} the government passed new laws for babysitters and daycare centers.,{since},"{from, when}"
9,1,"{} Jack nor Tom went out today, they stayed inside and played video games.",{neither},{either}
